,_Route_ID                 --Route Name,_#Trips,EXISTING_Miles,_Hours,_#Trips,NO-BUILD_Miles,_Hours,_#Trips,BUILD_Miles,_Hours
122,50-367&L                 --50-River Road - Sayler Park,0,0.00,0.00,0,0.00,0.00,6,84.74,3.77
123,51-348&L                 --51-Crosstown: Glenway - Hyde,22,390.41,29.38,0,0.00,0.00,0,0.00,0.00
124,51-362&L                 --51-Crosstown: Glenway - Hyde,0,0.00,0.00,22,390.28,29.38,0,0.00,0.00
125,51-367&L                 --51-Crosstown: Glenway - Hyde,0,0.00,0.00,0,0.00,0.00,22,390.28,29.38
126,511&T                    --Newport HS #1 PM-Newport HS,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
127,512&T                    --Newport HS #2 PM-Newport HS,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
128,52X-349&E                --52X-Harrison Express,3,61.11,1.78,0,0.00,0.00,0,0.00,0.00
129,52X-363&E                --52X-Harrison Express,0,0.00,0.00,3,61.11,1.78,3,61.11,1.78
130,552&T                    --Holmes HS #1 AM-Holmes HS #1,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
131,553&T                    --Holmes HS #6 PM-Holmes HS #6,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
132,554&T                    --Holmes HS #5 AM-Holmes HS #5,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
133,6-348&L                  --6-Queen City - Westwood,22,175.13,13.73,0,0.00,0.00,0,0.00,0.00
134,6-362&L                  --6-Queen City - Westwood,0,0.00,0.00,22,175.13,13.73,0,0.00,0.00
135,6-367&L                  --6-Queen City - Westwood,0,0.00,0.00,0,0.00,0.00,22,175.13,13.73
136,61&T                     --61-Covington Health Connecti,6,9.89,1.00,6,9.89,1.00,6,9.89,1.00
137,61-362&L                 --61-Galbraith Road,0,0.00,0.00,16,258.91,19.12,0,0.00,0.00
138,61-367&L                 --61-Galbraith Road,0,0.00,0.00,0,0.00,0.00,16,258.91,19.12
139,64-348&L                 --64-Glenway Crossing - Westwo,21,249.84,19.73,0,0.00,0.00,0,0.00,0.00
140,64-362&L                 --64-Glenway Crossing - Westwo,0,0.00,0.00,21,249.85,19.73,0,0.00,0.00
141,64-367&L                 --64-Glenway Crossing - Westwo,0,0.00,0.00,0,0.00,0.00,21,249.85,19.73
142,65-348&L                 --65-Crosstown: Western Hills-,10,104.01,7.55,0,0.00,0.00,0,0.00,0.00
143,65-362&L                 --65-Crosstown: Western Hills-,0,0.00,0.00,10,104.11,7.55,0,0.00,0.00
144,65-367&L                 --65-Crosstown: Western Hills-,0,0.00,0.00,0,0.00,0.00,10,104.11,7.55
